baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000097767.8	2310.22223213314	6.50838597134976	0.172795442063199	37.6652641622883	0	0
ENSMUSG00000054889.10	3842.13070107007	4.7118603024369	0.126729100911791	37.1805707492281	1.40632188018042e-302	1.22174213340674e-298
ENSMUSG00000020758.15	3565.40133475359	4.21908790336994	0.117802828815672	35.8148267387673	6.49201241216649e-281	3.75995718871309e-277
ENSMUSG00000000303.12	1564.83289158162	5.9076534659537	0.174722025357189	33.8117272500507	1.32624490566314e-250	4.60870104717943e-247
ENSMUSG00000027375.14	2156.13323716231	5.91137548870784	0.174798209787708	33.8182839280058	1.06230800815304e-250	4.60870104717943e-247
ENSMUSG00000025608.9	2476.32326046535	8.38741633824605	0.252579477930543	33.2070380656678	8.52025226624137e-242	2.46732305209906e-238
ENSMUSG00000037820.15	2188.0046985524	4.02965893041695	0.131472929841123	30.6501036775141	2.63428653175762e-206	6.53867549846982e-203
ENSMUSG00000024406.16	1290.89499150408	4.50642176003393	0.149580942016956	30.1269780713315	2.14838951742716e-199	4.66603348316212e-196
ENSMUSG00000047586.4	1352.63890568276	7.50442668693815	0.256015409212064	29.3124023668515	7.20772787461533e-189	1.39149190912713e-185
ENSMUSG00000019102.10	2386.39804616632	3.76491321497863	0.129031646594412	29.1782156885354	3.66523374361504e-187	6.36834362953112e-184
ENSMUSG00000045545.8	2300.3429492189	9.3002319320559	0.328182865136574	28.3385664519249	1.15782787502847e-176	1.82884175714723e-173
ENSMUSG00000030693.10	696.094912424164	5.50531547877155	0.199112679129228	27.649246159751	2.84964771588948e-168	4.12605242196498e-165
ENSMUSG00000056602.12	663.194327448463	5.25787149279174	0.191989917887449	27.3861854343523	4.00604732900751e-165	5.35423633396196e-162
ENSMUSG00000053797.10	1325.86718983257	8.25842815184457	0.307047303244991	26.8962731949325	2.42811980033532e-159	3.01347010934473e-156
ENSMUSG00000037185.9	805.276336454226	4.97669691682802	0.186021572970266	26.7533320859699	1.1293339788349e-157	1.30814519215043e-154
ENSMUSG00000047281.3	595.130599040157	5.32802479438692	0.204387040161948	26.0683103496445	8.34267382405264e-150	9.05962235580717e-147
ENSMUSG00000031995.9	719.482317910902	5.99646139577309	0.236714967667959	25.3319908531696	1.41936004483511e-141	1.45066945758883e-138
ENSMUSG00000034282.3	712.845910387364	6.81626642856404	0.276103812699254	24.6873317754169	1.46303299807131e-134	1.41223324119383e-131
ENSMUSG00000042793.13	557.379042127501	4.31309836460382	0.176414255513063	24.4486952149082	5.19579261703782e-132	4.75141561689642e-129
ENSMUSG00000063450.14	1132.65315282615	3.50306515873826	0.143907958701793	24.3424004505362	6.97774448837122e-131	6.06191552427249e-128
ENSMUSG00000025432.11	697.672582944192	6.35874928016409	0.262447220067573	24.2286783549351	1.10962813238733e-129	9.18085180963329e-127
ENSMUSG00000074796.10	497.66428742955	4.41385731571649	0.183119768964147	24.103663633284	2.28810179789135e-128	1.80708039719828e-125
ENSMUSG00000028435.8	560.873124401983	6.15589593662785	0.259958603793386	23.6802931189788	5.75575639051121e-124	4.34809857761445e-121
ENSMUSG00000022871.13	620.471208743853	6.57668019139834	0.278654738309798	23.6015372689863	3.71654794982666e-123	2.69062585950992e-120
ENSMUSG00000040703.11	771.712946818489	7.26964419468993	0.320845462233843	22.6577746933867	1.16941728998591e-113	8.12745016540208e-111
ENSMUSG00000020911.14	958.266330121338	3.6230740467499	0.161476219196232	22.4371988939561	1.70661180952481e-111	1.14047616117283e-108
ENSMUSG00000020788.15	1183.43686425781	8.89706365340616	0.397339505978014	22.3915908676306	4.75317617898036e-111	3.05875689295495e-108
ENSMUSG00000048699.4	1383.08467797935	9.33240681668802	0.418239508424422	22.3135467326957	2.72970225152166e-110	1.69387773643532e-107
ENSMUSG00000003153.10	569.776227435709	4.85087106715613	0.221422501255758	21.9077602305334	2.19095082320723e-106	1.31268174321468e-103
ENSMUSG00000061126.5	891.166868575808	8.31904431569802	0.380797671299207	21.8463634173893	8.41749547266472e-106	4.87513279458498e-103
ENSMUSG00000063011.7	4753.77181357819	1.9560594095845	0.0919370737725396	21.2760677419858	1.89157301315046e-100	1.06019616462869e-97
ENSMUSG00000024421.16	369.272029798862	5.44030089886575	0.256211312762151	21.2336482734318	4.66932985550098e-100	2.53530019497905e-97
ENSMUSG00000012350.15	676.44760191104	7.66263321786886	0.361391770327919	21.203120400102	8.93700155080913e-100	4.70546672561542e-97
ENSMUSG00000037411.10	4018.12829734737	-2.07787927075535	0.0998436383753531	-20.8113336469545	3.41705842517205e-96	1.74621735698131e-93
ENSMUSG00000060716.7	470.924955230547	6.94688248384369	0.336058060741857	20.6716734260392	6.23176995437304e-95	3.0936286559209e-92
